Nome,Clube,Posição,Preço (C$),Pontos Média,Partidas,CA,DS,FC,DE,DP,FS,GS,SG,A,FF,FD,I,G,CV,V,PP,PS,PC,FT,GC
João Pedro,COR,Zagueiro,3.62,1.0,1,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,
Hugo,COR,Lateral,6.28,3.35,2,,3.0,1.0,,,1.0,,,,1.0,1.0,,,,,,,,,
Cássio,CRU,Goleiro,9.49,5.48,5,2.0,,,18.0,1.0,,6.0,1.0,,,,,,,,,,,,
Leonardo Jardim,CRU,Técnico,9.21,5.87,5,,,,,,,,,,,,,,,2.0,,,,,
Lucas Romero,CRU,Meia,7.56,4.8,5,2.0,11.0,5.0,,,3.0,,,,2.0,,1.0,1.0,,,,,,,
Ryan,COR,Meia,4.23,1.7,1,,1.0,1.0,,,1.0,,,,,,,,,,,,,,
Bolasie,CRU,Atacante,5.62,-0.3,1,,,1.0,,,,,,,,,,,,,,,,,
Wanderson,CRU,Atacante,5.71,2.16,5,1.0,3.0,5.0,,,3.0,,,,4.0,1.0,1.0,,,,,,,1.0,
Fagner,CRU,Lateral,7.51,5.35,2,1.0,5.0,4.0,,,1.0,,1.0,,,,1.0,,,,,,,,
Marlon,GRE,Lateral,7.26,3.35,2,1.0,5.0,1.0,,,1.0,,,,,,,,,,,,,,
Mano Menezes,GRE,Técnico,9.04,2.45,1,,,,,,,,,,,,,,,,,,,,
Giovane,COR,Atacante,4.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Kaio Jorge,CRU,Atacante,13.14,10.38,4,2.0,10.0,3.0,,,8.0,,,,4.0,1.0,,3.0,,,1.0,1.0,,,
Eduardo,CRU,Meia,4.29,0.35,4,,,1.0,,,1.0,,,,,1.0,,,,,,,,,
Walace,CRU,Meia,3.21,-0.17,4,1.0,1.0,4.0,,,,,,,,,,,,,,,,,
Villalba,CRU,Zagueiro,6.42,6.4,3,1.0,6.0,1.0,,,1.0,,1.0,,,,,,,,,,,2.0,
Kaiki Bruno,CRU,Lateral,8.41,6.48,5,1.0,12.0,8.0,,,10.0,,1.0,1.0,2.0,1.0,,,,,,,,,
Christian,CRU,Meia,6.59,3.9,3,1.0,4.0,6.0,,,3.0,,,1.0,1.0,1.0,,,,,,,,,
Jonathan Jesus,CRU,Zagueiro,3.53,-0.35,2,,2.0,4.0,,,1.0,,,,,,,,1.0,,,,,,
Rodriguinho,CRU,Meia,3.12,-0.6,1,,,2.0,,,,,,,,,,,,,,,,,
Matheus Henrique,CRU,Meia,8.54,1.55,2,1.0,2.0,3.0,,,4.0,,,,,,,,,,,,,,
Dudu,CRU,Atacante,9.15,3.26,5,,4.0,4.0,,,7.0,,,,,,,1.0,,,,,,,
Marquinhos,CRU,Atacante,4.76,0.47,3,,1.0,2.0,,,1.0,,,,,,,,,,,,,,
Dinenno,CRU,Atacante,6.45,0.5,1,,,,,,1.0,,,,,,,,,,,,,,
Renato Paiva,BOT,Técnico,8.13,5.17,5,,,,,,,,,,,,,,,1.0,,,,,
João Marcelo,CRU,Zagueiro,7.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Japa,CRU,Meia,3.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Ayrton Lucas,FLA,Lateral,10.27,6.47,3,,5.0,1.0,,,2.0,,2.0,,,1.0,,,,,,,,,
Luiz Araújo,FLA,Atacante,8.75,4.47,4,,5.0,,,,2.0,,,1.0,4.0,1.0,,,,,,,,,
Léo Pereira,FLA,Zagueiro,9.7,4.98,5,,1.0,3.0,,,1.0,,3.0,,1.0,,,1.0,,,,,,,
Gamarra,CRU,Zagueiro,4.83,2.35,2,,4.0,1.0,,,,,,,,,,,,,,,1.0,,
Gerson,FLA,Meia,10.84,4.33,4,,1.0,2.0,,,10.0,,,1.0,2.0,4.0,,,,,,,,,
Erick Pulgar,FLA,Meia,7.71,4.08,5,2.0,8.0,10.0,,,6.0,,,,,2.0,,1.0,,,,,,,
Léo Aragão,CRU,Goleiro,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Varela,FLA,Lateral,6.96,6.5,1,,1.0,,,,,,1.0,,,,,,,,,,,,
Alex Sandro,FLA,Lateral,11.31,4.92,4,,7.0,12.0,,,4.0,,2.0,,1.0,,,,,,,,,,
Lautaro Díaz,CRU,Atacante,4.79,0.6,2,,,,,,,,,,,1.0,,,,,,,,,
Viña,FLA,Lateral,8.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Wesley,FLA,Lateral,11.6,7.28,5,1.0,8.0,8.0,,,11.0,,3.0,1.0,3.0,,1.0,,,,,,,,
Everton,FLA,Atacante,8.5,2.9,5,,3.0,2.0,,,,,,1.0,4.0,2.0,,,,,,,,,
Matheus Cunha,FLA,Goleiro,5.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Rossi,FLA,Goleiro,7.92,4.42,5,,,,7.0,,,2.0,3.0,,,,,,,,,,,,
Plata,FLA,Atacante,6.58,3.76,5,,6.0,2.0,,,,,,,3.0,,,1.0,,,,,,,
Allan,FLA,Meia,2.56,-0.2,3,,,2.0,,,,,,,,,,,,,,,,,
Felipe Jonatan,FOR,Lateral,6.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Juninho,FLA,Atacante,5.76,3.9,3,,2.0,4.0,,,,,,,2.0,2.0,1.0,,,,,,,2.0,
Matheus Gonçalves,FLA,Meia,4.39,3.2,1,,1.0,,,,1.0,,,,,1.0,,,,,,,,,
Cleiton,FLA,Zagueiro,3.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Guilherme Gomes,FLA,Meia,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Daniel Sales,FLA,Lateral,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Iago,FLA,Zagueiro,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Evertton Araújo,FLA,Meia,3.34,0.0,1,,,,,,,,,,,,,,,,,,,,
Luan Cândido,GRE,Lateral,7.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Shola,FLA,Atacante,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Lorran,FLA,Meia,3.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Wallace Yan,FLA,Atacante,3.5,3.0,1,,,,,,3.0,,,,2.0,,1.0,,,,,,,,
Dyogo Alves,FLA,Goleiro,3.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Carbone,FLA,Lateral,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Samuel Xavier,FLU,Lateral,9.71,6.05,4,,3.0,5.0,,,4.0,,2.0,,,1.0,,1.0,,,,,,,
Manoel,FLU,Zagueiro,5.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Michael,FLA,Atacante,7.28,3.58,5,,2.0,1.0,,,1.0,,,2.0,3.0,2.0,1.0,,,,,,,,
João Victor,FLA,Zagueiro,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Renê,FLU,Lateral,8.74,7.34,5,,13.0,6.0,,,2.0,,2.0,,,,,1.0,,,,,,,
